x	y	p	dl.theta_l	Aldicarb	Oxime	Sulfoxide	Sulfoxide_ox	Sulfone	Sulfone_ox
0	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0.01984126984127005	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0	-1.2470588235294118	461.4894117647064	0.33899999999999997	0	0	0	0	0	0
0.019841269841270034	-1.247058823529412	461.4894117647084	0.33899999999999997	0	0	0	0	0	0
0	-1.1941176470588235	-57.68617647058803	0.3389420682173254	0	0	0	0	0	0
0.01984126984127002	-1.1941176470588237	-57.68617647058588	0.3389420682173255	0	0	0	0	0	0
0.03968253968253982	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0.03968253968253982	-1.2470588235294118	461.4894117647064	0.33899999999999997	0	0	0	0	0	0
0	-1.1411764705882352	-576.8617647058826	0.33672142858248255	0	0	0	0	0	0
0.019841269841270017	-1.1411764705882355	-576.8617647058802	0.33672142858248255	0	0	0	0	0	0
0.03968253968253979	-1.1941176470588237	-57.68617647058588	0.3389420682173255	0	0	0	0	0	0
0.05952380952380959	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0.05952380952380959	-1.2470588235294118	461.4894117647064	0.33899999999999997	0	0	0	0	0	0
0	-1.0882352941176472	-1096.0373529411747	0.3327738778061127	0	0	0	0	0	0
0.01984126984127	-1.0882352941176476	-1096.0373529411702	0.3327738778061127	0	0	0	0	0	0
0.03968253968253979	-1.1411764705882352	-576.8617647058826	0.33672142858248255	0	0	0	0	0	0
0.059523809523809576	-1.1941176470588237	-57.68617647058588	0.3389420682173255	0	0	0	0	0	0
0.0793650793650795	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0.0793650793650795	-1.247058823529412	461.4894117647084	0.33899999999999997	0	0	0	0	0	0
0	-1.035294117647059	-1615.2129411764693	0.327743301844697	0	0	0	0	0	0
0.019841269841269986	-1.0352941176470587	-1615.2129411764718	0.32774330184469697	0	0	0	0	0	0
0.039682539682539784	-1.0882352941176472	-1096.037352941175	0.3327738778061127	0	0	0	0	0	0
0.05952380952380958	-1.1411764705882352	-576.8617647058826	0.33672142858248255	0	0	0	0	0	0
0.07936507936507947	-1.1941176470588237	-57.68617647058588	0.3389420682173255	0	0	0	0	0	0
0.09920634920634927	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0.09920634920634927	-1.2470588235294118	461.4894117647064	0.33899999999999997	0	0	0	0	0	0
0	-0.9823529411764707	-2134.388529411764	0.3219877122333996	0	0	0	0	0	0
0.019841269841269975	-0.9823529411764709	-2134.3885294117613	0.32198771223339967	0	0	0	0	0	0
0.03968253968253978	-1.0352941176470587	-1615.2129411764718	0.32774330184469697	0	0	0	0	0	0
0.059523809523809576	-1.0882352941176472	-1096.037352941175	0.3327738778061127	0	0	0	0	0	0
0.07936507936507947	-1.1411764705882352	-576.8617647058826	0.33672142858248255	0	0	0	0	0	0
0.09920634920634927	-1.1941176470588237	-57.68617647058588	0.3389420682173255	0	0	0	0	0	0
0.11904761904761904	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0.11904761904761908	-1.2470588235294118	461.4894117647064	0.33899999999999997	0	0	0	0	0	0
0	-0.9294117647058825	-2653.5641176470567	0.3157623189144068	0	0	0	0	0	0
